doi,URL,delay-in-days
10.1021/cb100294v,http://pubs.acs.org/page/policy/authorchoice_termsofuse.html,0
10.1021/om400313r,http://pubs.acs.org/page/policy/authorchoice_termsofuse.html,945
10.2147/ijn.s112660,http://creativecommons.org/licenses/by-nc/3.0/,0
10.1111/1523-1747.ep12471750,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1111/1523-1747.ep12471750,http://www.elsevier.com/open-access/userlicense/1.0/,10289
10.1016/j.jmbbm.2013.11.023,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.jmbbm.2013.11.023,http://creativecommons.org/licenses/by/3.0/,0
10.1016/j.rchipe.2015.07.018,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.rchipe.2015.07.018,http://creativecommons.org/licenses/by-nc-nd/4.0/,0
10.1016/j.bpj.2010.04.063,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.bpj.2010.04.063,http://www.elsevier.com/open-access/userlicense/1.0/,1112
10.1016/0021-9045(87)90075-x,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/0021-9045(87)90075-x,http://www.elsevier.com/open-access/userlicense/1.0/,9604
10.1016/j.bbmt.2012.07.002,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.bbmt.2012.07.002,http://creativecommons.org/licenses/by-nc-nd/4.0/,860
10.1016/j.bbmt.2005.11.170,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.bbmt.2005.11.170,http://creativecommons.org/licenses/by-nc-nd/4.0/,3355
10.1016/0097-3165(89)90041-1,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/0097-3165(89)90041-1,http://www.elsevier.com/open-access/userlicense/1.0/,8782
10.1016/j.math.2013.05.006,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.math.2013.05.006,http://creativecommons.org/licenses/by/3.0/,0
10.1016/j.cam.2007.04.010,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.cam.2007.04.010,http://www.elsevier.com/open-access/userlicense/1.0/,1939
10.1016/j.bpj.2013.01.004,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.bpj.2013.01.004,http://www.elsevier.com/open-access/userlicense/1.0/,383
10.1016/j.jccase.2013.02.009,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.jccase.2013.02.009,http://www.elsevier.com/open-access/userlicense/1.0/,365
10.1016/s1063-4584(11)60540-2,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/s1063-4584(11)60540-2,http://www.elsevier.com/open-access/userlicense/1.0/,900
10.1111/j.1469-0691.2009.03021.x,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1111/j.1469-0691.2009.03021.x,http://www.elsevier.com/open-access/userlicense/1.0/,1612
10.1016/s0019-9958(65)90283-4,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/s0019-9958(65)90283-4,http://www.elsevier.com/open-access/userlicense/1.0/,18000
10.1016/j.rpor.2010.01.005,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.rpor.2010.01.005,http://www.elsevier.com/open-access/userlicense/1.0/,1329
10.1016/j.bjanes.2012.09.005,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.bjanes.2012.09.005,http://creativecommons.org/licenses/by-nc-nd/4.0/,38
10.1016/s1359-0278(98)00012-1,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/s1359-0278(98)00012-1,http://www.elsevier.com/open-access/userlicense/1.0/,5588
10.1016/j.proeng.2012.06.132,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.proeng.2012.06.132,http://creativecommons.org/licenses/by-nc-nd/3.0/,562
10.1016/j.earscirev.2016.09.008,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.earscirev.2016.09.008,http://creativecommons.org/licenses/by-nc-nd/4.0/,0
10.1016/j.artd.2015.05.002,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.artd.2015.05.002,http://creativecommons.org/licenses/by-nc-nd/4.0/,0
10.1016/s0735-1097(03)00501-1,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/s0735-1097(03)00501-1,http://www.elsevier.com/open-access/userlicense/1.0/,3668
