doi,URL,delay-in-days
10.1016/j.cell.2014.05.039,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.cell.2014.05.039,http://www.elsevier.com/open-access/userlicense/1.0/,590
10.1016/j.topol.2011.10.018,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.topol.2011.10.018,http://www.elsevier.com/open-access/userlicense/1.0/,1475
10.1016/j.neuron.2009.03.001,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.neuron.2009.03.001,http://www.elsevier.com/open-access/userlicense/1.0/,1604
10.1063/1.4891676,http://creativecommons.org/licenses/by/4.0/,1
10.1016/j.jmaa.2011.06.002,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.jmaa.2011.06.002,http://www.elsevier.com/open-access/userlicense/1.0/,1475
10.5051/jpis.2015.45.5.178,http://creativecommons.org/licenses/by-nc/3.0/,0
10.1016/j.bpj.2014.08.013,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.bpj.2014.08.013,http://www.elsevier.com/open-access/userlicense/1.0/,371
10.1016/j.comppsych.2015.05.002,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.comppsych.2015.05.002,http://creativecommons.org/licenses/by-nc-nd/4.0/,0
10.1016/j.jmaa.2011.06.021,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.jmaa.2011.06.021,http://www.elsevier.com/open-access/userlicense/1.0/,1461
10.1016/j.ocemod.2015.09.008,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.ocemod.2015.09.008,http://creativecommons.org/licenses/by-nc-nd/4.0/,0
10.1016/j.virol.2009.10.025,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.virol.2009.10.025,http://www.elsevier.com/open-access/userlicense/1.0/,1293
10.1016/j.jnt.2011.06.012,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.jnt.2011.06.012,http://www.elsevier.com/open-access/userlicense/1.0/,1461
10.1016/j.rmed.2011.06.015,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.rmed.2011.06.015,http://www.elsevier.com/open-access/userlicense/1.0/,731
10.1021/pr2008994,http://pubs.acs.org/page/policy/authorchoice_termsofuse.html,0
10.1016/j.bulsci.2010.12.005,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.bulsci.2010.12.005,http://www.elsevier.com/open-access/userlicense/1.0/,1461
10.1016/j.devcel.2009.06.013,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.devcel.2009.06.013,http://www.elsevier.com/open-access/userlicense/1.0/,1508
10.1016/j.bbabio.2012.03.005,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.bbabio.2012.03.005,http://www.elsevier.com/open-access/userlicense/1.0/,932
10.4062/biomolther.2014.008,http://creativecommons.org/licenses/by-nc/3.0,0
10.1021/om500683p,http://pubs.acs.org/page/policy/authorchoice_termsofuse.html,39
10.1016/j.cell.2014.02.056,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.cell.2014.02.056,http://www.elsevier.com/open-access/userlicense/1.0/,372
10.1016/j.jacc.2012.05.042,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.jacc.2012.05.042,http://www.elsevier.com/open-access/userlicense/1.0/,373
10.1016/j.ygeno.2012.05.003,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.ygeno.2012.05.003,http://www.elsevier.com/open-access/userlicense/1.0/,549
10.1016/j.ydbio.2010.08.013,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.ydbio.2010.08.013,http://www.elsevier.com/open-access/userlicense/1.0/,989
10.1016/j.joca.2012.01.017,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.joca.2012.01.017,http://www.elsevier.com/open-access/userlicense/1.0/,687
10.1038/ki.2009.136,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1038/ki.2009.136,http://www.elsevier.com/open-access/userlicense/1.0/,2319
10.1016/j.cam.2010.03.027,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.cam.2010.03.027,http://www.elsevier.com/open-access/userlicense/1.0/,1475
10.1016/j.dam.2008.06.028,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.dam.2008.06.028,http://www.elsevier.com/open-access/userlicense/1.0/,1538
10.1103/physrevc.88.037601,http://creativecommons.org/licenses/by/3.0/,0
10.1016/j.molstruc.2015.05.014,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.molstruc.2015.05.014,http://creativecommons.org/licenses/by/4.0/,0
10.1016/j.neuroimage.2009.02.016,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.neuroimage.2009.02.016,http://creativecommons.org/licenses/by/3.0/,1506
10.1016/j.jmaa.2009.03.010,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.jmaa.2009.03.010,http://www.elsevier.com/open-access/userlicense/1.0/,1475
10.1016/j.jmaa.2008.10.012,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.jmaa.2008.10.012,http://www.elsevier.com/open-access/userlicense/1.0/,1635
10.1016/j.tcs.2010.11.014,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.tcs.2010.11.014,http://www.elsevier.com/open-access/userlicense/1.0/,1564
10.1016/j.disc.2009.12.021,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.disc.2009.12.021,http://www.elsevier.com/open-access/userlicense/1.0/,1466
10.1016/j.powtec.2014.10.017,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.powtec.2014.10.017,http://creativecommons.org/licenses/by/3.0/,0
10.1016/j.cell.2012.04.043,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.cell.2012.04.043,http://www.elsevier.com/open-access/userlicense/1.0/,381
10.1016/j.bbamcr.2012.12.015,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.bbamcr.2012.12.015,http://www.elsevier.com/open-access/userlicense/1.0/,365
10.5194/nhess-15-381-2015,http://creativecommons.org/licenses/by/3.0/,0
10.1016/j.micres.2013.02.009,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.micres.2013.02.009,http://www.elsevier.com/open-access/userlicense/1.0/,365
10.1021/jo300214d,http://pubs.acs.org/page/policy/authorchoice_termsofuse.html,0
10.1016/j.jmva.2008.10.014,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.jmva.2008.10.014,http://www.elsevier.com/open-access/userlicense/1.0/,1477
10.1016/j.ijsu.2012.08.003,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.ijsu.2012.08.003,http://www.elsevier.com/open-access/userlicense/1.0/,970
10.1038/ki.2011.116,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1038/ki.2011.116,http://www.elsevier.com/open-access/userlicense/1.0/,1589
10.1016/j.febslet.2012.07.033,http://doi.wiley.com/10.1002/tdm_license_1.1,1137
10.1016/j.topol.2009.12.004,http://www.elsevier.com/tdm/userlicense/1.0/,0
10.1016/j.topol.2009.12.004,http://www.elsevier.com/open-access/userlicense/1.0/,1461
10.1021/jp501778z,http://pubs.acs.org/page/policy/authorchoice_termsofuse.html,341
